Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
478,Patrick Williams,PF,19,CHI,33,33,939,127,268,0.47388059701492535,30,77,0.38961038961038963,97,191,0.5078534031413613,52,66,0.7878787878787878,30,129,159,39,24,25,49,75,336
479,Robert Williams,C,23,BOS,29,0,468,88,122,0.7213114754098361,0,1,0.0,88,121,0.7272727272727273,25,39,0.6410256410256411,66,104,170,31,26,42,28,53,201
480,Zion Williamson,PF,20,NOP,34,34,1126,335,546,0.6135531135531136,6,19,0.3157894736842105,329,527,0.6242884250474383,194,279,0.6953405017921147,93,152,245,117,32,24,88,82,870
481,D.J. Wilson,PF,24,MIL,11,0,99,15,41,0.36585365853658536,9,26,0.34615384615384615,6,15,0.4,1,2,0.5,3,20,23,3,1,4,4,12,40
482,Dylan Windler,SF,24,CLE,22,0,417,47,103,0.4563106796116505,23,63,0.36507936507936506,24,40,0.6,21,26,0.8076923076923077,17,73,90,28,15,10,22,29,138
483,Justise Winslow,SF,24,MEM,6,0,134,24,64,0.375,3,15,0.2,21,49,0.42857142857142855,6,10,0.6,5,26,31,9,3,4,10,18,57
484,Cassius Winston,PG,22,WAS,6,0,44,4,10,0.4,3,7,0.42857142857142855,1,3,0.3333333333333333,2,2,1.0,0,4,4,6,0,1,1,4,13
485,James Wiseman,C,19,GSW,26,17,541,126,247,0.5101214574898786,10,27,0.37037037037037035,116,220,0.5272727272727272,44,70,0.6285714285714286,36,118,154,17,9,28,38,84,306
486,Christian Wood,C,25,HOU,17,17,530,149,267,0.5580524344569289,32,76,0.42105263157894735,117,191,0.612565445026178,44,64,0.6875,31,143,174,22,16,26,31,32,374
487,Robert Woodard,SF,21,SAC,6,0,17,6,11,0.5454545454545454,1,3,0.3333333333333333,5,8,0.625,0,2,0.0,3,5,8,0,0,0,1,0,13
488,Delon Wright,SG,28,DET,29,24,848,110,235,0.46808510638297873,28,73,0.3835616438356164,82,162,0.5061728395061729,62,79,0.7848101265822784,32,101,133,141,42,15,35,32,310
489,Thaddeus Young,PF,32,CHI,30,0,760,167,274,0.6094890510948905,5,22,0.22727272727272727,162,252,0.6428571428571429,23,46,0.5,71,105,176,131,42,17,56,81,362
490,Trae Young,PG,22,ATL,34,34,1182,262,610,0.42950819672131146,85,225,0.37777777777777777,177,385,0.4597402597402597,288,328,0.8780487804878049,25,117,142,321,30,8,149,70,897
491,Cody Zeller,C,28,CHO,18,15,421,73,142,0.5140845070422535,3,19,0.15789473684210525,70,123,0.5691056910569106,25,33,0.7575757575757576,46,90,136,44,11,11,20,47,174
492,Ivica Zubac,C,23,LAC,38,1,753,120,182,0.6593406593406593,0,1,0.0,120,181,0.6629834254143646,71,86,0.8255813953488372,90,176,266,43,14,30,39,80,311
